Kabupaten/Kota,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Buah-Buahan Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,
,BUAH-BUAHAN,"Jeruk, jeruk bali",Mangga,Apel,Rambutan,"Duku, langsat",Durian,Salak,Pisang ambon,Pisang lainnya,Pepaya,Semangka,Tomat buah,Alpokat,Jambu biji,Buah-buahan lainnya
,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
Simeulue,3978,780,224,269,20,68,-,458,103,775,282,148,311,237,38,264
Aceh Singkil,6363,2034,162,425,22,274,187,1110,88,407,178,659,51,136,3,628
Aceh Selatan,5682,1408,163,244,22,539,14,993,102,274,252,313,968,73,9,308
Aceh Tenggara,6046,1131,166,322,12,65,10,980,31,328,225,648,1455,73,9,589
Aceh Timur,5812,1703,323,169,39,378,179,1031,46,289,299,615,469,32,94,146
Aceh Tengah,14192,2156,361,737,127,533,6449,810,117,682,363,471,776,156,197,258
Aceh Barat,11160,2475,195,385,55,464,154,1327,65,953,604,833,1704,154,149,1643
Aceh Besar,6689,2148,229,314,112,58,78,973,177,737,540,468,3,135,89,628
Pidie,7213,2239,257,241,82,376,1016,1303,108,368,423,253,18,242,29,256
Bireuen,7497,1874,131,547,25,85,684,1100,46,631,506,374,760,115,61,560
Aceh Utara,5004,1325,199,183,80,240,426,845,21,303,334,390,368,127,74,86
Aceh Barat Daya,7231,1551,139,564,9,163,3,1194,43,496,224,324,1941,140,58,381
Gayo Lues,8731,1644,370,668,201,527,966,1644,190,679,524,472,251,357,113,125
Aceh Tamiang,7426,2156,361,396,26,169,48,758,7,587,339,556,1150,202,71,597
Nagan Raya,12722,2780,742,716,244,1246,229,1959,190,570,763,962,1466,257,107,492
Aceh Jaya,8789,1772,235,434,10,163,1,1339,54,731,463,709,1873,93,22,888
Bener Meriah,16958,2619,692,945,457,783,6097,1138,359,713,347,594,863,487,357,507
Pidie Jaya,7558,2282,288,309,323,157,1290,1236,184,244,475,339,85,183,51,112
Kota Banda Aceh,12518,2684,448,1156,86,71,495,763,9,1355,889,1021,1355,506,146,1533
Kota Sabang,9582,2932,207,776,177,231,253,744,39,1172,1082,684,47,224,25,989
Kota Langsa,7349,2511,317,310,-,234,107,602,29,610,453,466,1049,131,39,490
Kota Lhokseumawe,9053,2124,501,756,0,31,433,932,5,745,610,693,1041,140,124,917
Kota Subulussalam,6226,1597,188,210,11,393,-,992,79,296,190,615,923,92,3,638
Nias,3706,197,-,152,-,54,153,35,197,2443,250,148,28,18,-,32
Mandailing Natal,3689,798,64,215,51,571,1,882,128,346,162,58,78,40,16,280
Tapanuli Selatan,5063,1221,20,340,125,330,120,1017,90,522,393,270,390,89,3,133
Tapanuli Tengah,6169,1161,61,266,5,511,20,551,256,861,249,126,1467,87,52,496
Tapanuli Utara,9033,1921,99,601,49,445,484,732,245,998,398,149,2320,173,41,380
Toba Samosir,12956,2945,286,1087,45,700,298,835,85,1791,515,144,2934,131,78,1082
Labuhan Batu,6041,1701,84,487,114,307,62,900,121,486,287,445,701,139,10,198
Asahan,7134,2302,79,273,29,225,39,534,84,1054,499,472,742,80,69,654
Simalungun,7460,2208,157,531,37,162,45,554,73,722,570,283,1087,164,105,762
Dairi,6396,1501,174,437,20,68,279,711,238,1277,413,306,297,176,109,392
Karo,8906,1734,612,983,37,902,345,728,331,875,532,439,250,229,70,839
Deli Serdang,7165,2217,189,545,20,101,272,501,36,1079,663,383,39,166,61,894
Langkat,5939,2257,209,326,25,197,176,530,35,708,400,456,66,67,26,461
Nias Selatan,2389,92,5,51,-,52,30,132,338,1139,293,99,116,42,-,-
Humbang Hasundutan,9631,2075,157,716,5,454,16,859,158,1558,364,114,2258,98,113,687
Pakpak Bharat,8061,1017,109,488,21,165,455,932,392,923,343,211,1989,119,118,778
Samosir,10145,2395,31,1001,7,218,154,800,676,2473,749,134,272,339,115,781
Serdang Bedagai,6076,2287,77,375,12,75,155,399,98,673,290,190,786,58,34,568
Batu Bara,6388,1944,159,473,-,129,27,347,39,739,193,269,1265,171,59,574
Padang Lawas Utara,5093,1521,99,175,54,135,57,1608,69,327,90,291,604,18,3,45
Padang Lawas,6120,1160,62,589,35,362,15,1041,79,681,224,671,500,111,14,574
Labuhan Batu Selatan,5672,1891,22,460,21,442,30,917,110,338,203,498,356,65,10,309
Labuhan Batu Utara,6464,1876,28,336,64,292,64,905,32,546,197,345,986,80,16,696
Nias Utara,2789,202,-,87,1,0,188,161,436,1040,413,134,15,85,4,23
