Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Sayur-Sayuran Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,
,SAYUR-SAYURAN,Bayam,Kangkung,Kol/kubis,Sawi putih (petsai),Sawi hijau,Buncis,Kacang panjang,"Tomat sayur, tomat ceri",Wortel,Mentimun,Daun ketela pohon/daun singkong,Terong,Tauge,"Labu, labu siam, labu parang",Bahan sayur sop/cap cay/ kimlo (paket),Bahan sayur asam/lodeh (paket),Nangka muda,Pepaya muda,Jengkol,Bawang putih,Bawang merah,Bawang bombay,Cabe merah,Cabe hijau,Cabe rawit,Sayur-sayuran lainnya
,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
Simeulue,13152,171,668,250,51,136,33,145,449,192,183,560,389,103,78,-,-,76,39,-,2518,722,4,3945,176,2174,91
Aceh Singkil,17920,482,696,336,285,349,221,565,1828,391,408,417,624,177,160,9,14,47,18,220,2744,1025,20,5242,511,1074,58
Aceh Selatan,14771,470,597,318,111,214,104,291,578,470,355,204,638,203,92,102,61,92,26,240,1943,880,54,4052,99,2404,171
Aceh Tenggara,14685,561,595,402,224,192,170,386,639,231,101,442,425,164,79,15,5,110,40,28,2518,956,31,3780,498,1864,228
Aceh Timur,12709,455,499,190,64,94,86,356,496,234,189,269,288,195,117,124,405,159,185,153,2178,1007,94,2360,888,1471,153
Aceh Tengah,17119,477,733,322,255,343,478,545,975,166,148,369,509,216,565,45,107,34,14,55,2451,1095,146,3634,761,1941,735
Aceh Barat,15821,727,729,205,43,343,77,644,545,390,270,566,469,268,145,159,50,56,24,307,2372,773,154,3397,167,2290,649
Aceh Besar,14052,632,590,282,35,193,134,280,1657,466,210,217,297,259,80,85,109,148,148,6,2230,877,44,2903,660,1266,243
Pidie,12984,666,533,142,30,167,100,358,1524,266,200,87,235,293,118,260,278,79,88,6,2156,753,237,2452,760,1008,186
Bireuen,12718,588,567,178,77,78,22,234,419,168,165,228,236,248,115,385,286,57,159,13,2413,800,68,3200,803,924,286
Aceh Utara,10205,556,452,130,18,77,65,309,531,202,161,200,185,209,124,202,341,83,93,179,1802,815,55,1806,611,912,88
Aceh Barat Daya,13790,507,560,127,115,171,65,280,151,261,290,183,636,199,107,42,23,80,58,37,2187,683,-,4414,76,2357,183
Gayo Lues,14544,459,451,406,122,320,178,551,1410,201,89,252,744,107,326,11,7,264,71,145,2337,744,34,3564,379,1144,227
Aceh Tamiang,14233,642,695,174,141,265,97,324,63,363,185,355,390,166,110,133,272,34,23,110,2224,1018,57,3155,1170,1895,173
