Kabupaten_Kota,BUAH-BUAHAN,"Jeruk, jeruk bali",Mangga,Apel,Rambutan,"Duku, langsat",Durian,Salak,Pisang ambon,Pisang lainnya,Pepaya,Semangka,Tomat buah,Alpokat,Jambu biji,Buah-buahan lainnya,Tahun,Kategori
Simeulue,5287.59,1501.23,88.02,351.16,26.03,118.96,0.0,699.85,19.36,898.8,396.75,263.62,388.53,126.78,38.27,370.22,2023,Buah
Aceh Singkil,7377.18,1817.24,173.25,512.97,57.77,862.41,52.63,1098.24,151.88,571.33,273.94,1061.05,8.49,128.52,25.65,581.79,2023,Buah
Aceh Selatan,4589.2,1100.93,111.65,194.22,35.96,389.54,3.86,773.16,117.64,149.34,195.93,201.34,1027.09,149.77,4.42,134.34,2023,Buah
Aceh Tenggara,5381.6,875.42,104.96,264.9,126.43,280.8,275.9,909.91,198.38,434.09,334.67,387.31,647.26,189.86,54.65,297.05,2023,Buah
Aceh Timur,5630.94,1670.13,240.13,142.95,114.39,611.63,286.54,1097.17,68.22,248.52,298.8,461.39,30.12,76.56,46.96,237.42,2023,Buah
Aceh Tengah,10500.46,1627.65,301.95,592.89,230.08,811.63,2906.11,1052.05,182.57,412.44,278.94,405.8,438.34,272.08,132.26,855.7,2023,Buah
Aceh Barat,9451.44,2530.97,249.59,422.9,46.34,1415.92,78.03,1179.58,57.58,599.34,472.98,392.06,1153.19,171.49,44.46,637.02,2023,Buah
Aceh Besar,5480.57,1691.0,124.52,357.21,28.35,59.84,152.9,973.98,165.06,563.46,418.31,285.37,11.78,160.45,27.45,460.9,2023,Buah
Pidie,5716.1,1893.29,203.81,254.67,19.13,304.9,306.75,1320.74,94.79,353.79,375.12,155.57,2.21,131.65,40.07,259.62,2023,Buah
Bireuen,7543.48,2057.89,308.78,417.52,34.8,231.46,376.67,1159.03,28.92,663.76,433.89,253.38,612.91,317.47,62.27,584.75,2023,Buah
Aceh Utara,6295.52,1952.74,294.64,303.9,68.98,483.28,266.24,1192.3,19.44,211.14,265.82,457.84,357.15,134.39,42.98,244.7,2023,Buah
Aceh Barat Daya,5656.33,1396.45,84.19,156.24,40.87,589.39,54.88,837.66,43.63,264.1,184.76,115.63,1495.91,134.96,4.34,253.34,2023,Buah
Gayo Lues,8835.76,1355.19,294.8,373.09,253.3,1010.52,1555.36,1214.54,189.79,817.18,535.6,412.98,96.33,341.91,150.45,234.72,2023,Buah
