Kabupaten_Kota,Tahun,Kategori,Produk,Pengeluaran,Is_Total,Region,Kategori_Pengeluaran,Pengeluaran_Bulanan,Pengeluaran_Tahunan
Simeulue,2023,Buah,BUAH-BUAHAN,5287.59,True,Lainnya,Sangat Tinggi,21150.36,274954.68
Aceh Singkil,2023,Buah,BUAH-BUAHAN,7377.18,True,Aceh,Sangat Tinggi,29508.72,383613.36
Aceh Selatan,2023,Buah,BUAH-BUAHAN,4589.2,True,Aceh,Sangat Tinggi,18356.8,238638.4
Aceh Tenggara,2023,Buah,BUAH-BUAHAN,5381.6,True,Aceh,Sangat Tinggi,21526.4,279843.2
Aceh Timur,2023,Buah,BUAH-BUAHAN,5630.94,True,Aceh,Sangat Tinggi,22523.76,292808.88
Aceh Tengah,2023,Buah,BUAH-BUAHAN,10500.46,True,Aceh,Sangat Tinggi,42001.84,546023.9199999999
Aceh Barat,2023,Buah,BUAH-BUAHAN,9451.44,True,Aceh,Sangat Tinggi,37805.76,491474.88
Aceh Besar,2023,Buah,BUAH-BUAHAN,5480.57,True,Aceh,Sangat Tinggi,21922.28,284989.64
Pidie,2023,Buah,BUAH-BUAHAN,5716.1,True,Lainnya,Sangat Tinggi,22864.4,297237.2
Bireuen,2023,Buah,BUAH-BUAHAN,7543.48,True,Lainnya,Sangat Tinggi,30173.92,392260.95999999996
Aceh Utara,2023,Buah,BUAH-BUAHAN,6295.52,True,Aceh,Sangat Tinggi,25182.08,327367.04000000004
Aceh Barat Daya,2023,Buah,BUAH-BUAHAN,5656.33,True,Aceh,Sangat Tinggi,22625.32,294129.16
Gayo Lues,2023,Buah,BUAH-BUAHAN,8835.76,True,Lainnya,Sangat Tinggi,35343.04,459459.52
Aceh Tamiang,2023,Buah,BUAH-BUAHAN,5965.12,True,Aceh,Sangat Tinggi,23860.48,310186.24
Nagan Raya,2023,Buah,BUAH-BUAHAN,17231.33,True,Lainnya,Sangat Tinggi,68925.32,896029.1600000001
Aceh Jaya,2023,Buah,BUAH-BUAHAN,7321.97,True,Aceh,Sangat Tinggi,29287.88,380742.44
Bener Meriah,2023,Buah,BUAH-BUAHAN,16050.01,True,Lainnya,Sangat Tinggi,64200.04,834600.52
Pidie Jaya,2023,Buah,BUAH-BUAHAN,6308.57,True,Lainnya,Sangat Tinggi,25234.28,328045.64
Kota Banda Aceh,2023,Buah,BUAH-BUAHAN,10298.43,True,Aceh,Sangat Tinggi,41193.72,535518.36
Kota Sabang,2023,Buah,BUAH-BUAHAN,9966.15,True,Lainnya,Sangat Tinggi,39864.6,518239.8
Kota Langsa,2023,Buah,BUAH-BUAHAN,8090.42,True,Lainnya,Sangat Tinggi,32361.68,420701.84
Kota Lhokseumawe,2023,Buah,BUAH-BUAHAN,7474.15,True,Lainnya,Sangat Tinggi,29896.6,388655.8
Kota Subulussalam,2023,Buah,BUAH-BUAHAN,7786.62,True,Lainnya,Sangat Tinggi,31146.48,404904.24
Nias,2023,Buah,BUAH-BUAHAN,3446.42,True,Lainnya,Sangat Tinggi,13785.68,179213.84
Mandailing Natal,2023,Buah,BUAH-BUAHAN,4462.03,True,Lainnya,Sangat Tinggi,17848.12,232025.56
Tapanuli Selatan,2023,Buah,BUAH-BUAHAN,5222.05,True,Lainnya,Sangat Tinggi,20888.2,271546.60000000003
Tapanuli Tengah,2023,Buah,BUAH-BUAHAN,4984.65,True,Lainnya,Sangat Tinggi,19938.6,259201.8
Tapanuli Utara,2023,Buah,BUAH-BUAHAN,8824.73,True,Lainnya,Sangat Tinggi,35298.92,458885.95999999996
Toba Samosir,2023,Buah,BUAH-BUAHAN,11973.75,True,Lainnya,Sangat Tinggi,47895.0,622635.0
Labuhan Batu,2023,Buah,BUAH-BUAHAN,5750.68,True,Lainnya,Sangat Tinggi,23002.72,299035.36
Asahan,2023,Buah,BUAH-BUAHAN,6653.17,True,Lainnya,Sangat Tinggi,26612.68,345964.84
Simalungun,2023,Buah,BUAH-BUAHAN,8632.41,True,Lainnya,Sangat Tinggi,34529.64,448885.32
Dairi,2023,Buah,BUAH-BUAHAN,7204.92,True,Lainnya,Sangat Tinggi,28819.68,374655.84
Karo,2023,Buah,BUAH-BUAHAN,9156.44,True,Lainnya,Sangat Tinggi,36625.76,476134.88
Deli Serdang,2023,Buah,BUAH-BUAHAN,7259.24,True,Lainnya,Sangat Tinggi,29036.96,377480.48
Langkat,2023,Buah,BUAH-BUAHAN,6546.19,True,Lainnya,Sangat Tinggi,26184.76,340401.88
Nias Selatan,2023,Buah,BUAH-BUAHAN,1980.7,True,Lainnya,Tinggi,7922.8,102996.40000000001
Humbang Hasundutan,2023,Buah,BUAH-BUAHAN,7066.99,True,Lainnya,Sangat Tinggi,28267.96,367483.48
Pakpak Bharat,2023,Buah,BUAH-BUAHAN,7556.1,True,Lainnya,Sangat Tinggi,30224.4,392917.2
Samosir,2023,Buah,BUAH-BUAHAN,10616.36,True,Lainnya,Sangat Tinggi,42465.44,552050.72
Serdang Bedagai,2023,Buah,BUAH-BUAHAN,6297.94,True,Lainnya,Sangat Tinggi,25191.76,327492.88
Batu Bara,2023,Buah,BUAH-BUAHAN,6094.6,True,Lainnya,Sangat Tinggi,24378.4,316919.2
Padang Lawas Utara,2023,Buah,BUAH-BUAHAN,5010.83,True,Lainnya,Sangat Tinggi,20043.32,260563.16
Padang Lawas,2023,Buah,BUAH-BUAHAN,5683.53,True,Lainnya,Sangat Tinggi,22734.12,295543.56
Labuhan Batu Selatan,2023,Buah,BUAH-BUAHAN,5638.77,True,Lainnya,Sangat Tinggi,22555.08,293216.04000000004
Labuhan Batu Utara,2023,Buah,BUAH-BUAHAN,6433.78,True,Lainnya,Sangat Tinggi,25735.12,334556.56
Nias Utara,2023,Buah,BUAH-BUAHAN,2335.84,True,Lainnya,Sangat Tinggi,9343.36,121463.68000000001
Nias Barat,2023,Buah,BUAH-BUAHAN,2171.9,True,Lainnya,Sangat Tinggi,8687.6,112938.8
