Kabupaten_Kota,SAYUR-SAYURAN,Bayam,Kangkung,Kol/kubis,Sawi putih (petsai),Sawi hijau,Buncis,Kacang panjang,"Tomat sayur, tomat ceri",Wortel,Mentimun,Daun ketela pohon/daun singkong,Terong,Tauge,"Labu, labu siam, labu parang",Bahan sayur sop/cap cay/ kimlo (paket),Bahan sayur asam/lodeh (paket),Nangka muda,Pepaya muda,Jengkol,Bawang putih,Bawang merah,Bawang bombay,Cabe merah,Cabe hijau,Cabe rawit,Sayur-sayuran lainnya,Tahun,Kategori
Simeulue,12318.24,354.36,782.14,202.72,71.08,80.88,60.11,215.41,272.89,174.06,260.51,508.11,498.74,157.43,76.6,5.28,21.68,68.91,35.4,40.54,2265.97,595.58,22.92,3235.9,123.99,2061.52,125.51,2023,Sayur
Aceh Singkil,16723.57,662.22,670.57,493.13,204.54,330.88,305.44,636.24,1671.87,377.73,556.53,403.51,687.25,192.69,106.91,3.45,0.49,56.51,25.44,618.45,2477.69,837.41,128.65,3866.9,440.46,902.65,65.97,2023,Sayur
Aceh Selatan,10169.1,380.82,420.61,165.44,32.92,97.5,36.6,293.54,216.33,153.22,133.85,147.2,575.37,96.71,48.01,2.53,0.0,72.33,25.96,202.04,1762.54,536.21,18.84,2914.23,102.16,1576.34,157.82,2023,Sayur
Aceh Tenggara,12211.34,498.11,473.49,230.45,130.67,184.74,85.97,412.37,698.28,163.65,100.33,430.31,455.74,150.03,143.15,22.83,2.46,101.44,60.83,195.73,2130.01,807.2,46.07,2336.88,533.37,1688.76,128.48,2023,Sayur
Aceh Timur,11596.54,586.09,525.06,190.94,80.74,111.93,84.01,366.48,682.75,207.34,178.67,222.2,279.91,179.74,94.53,102.03,358.05,105.26,82.74,107.48,2038.88,832.33,149.63,1947.71,809.06,1106.22,166.78,2023,Sayur
Aceh Tengah,14497.93,593.82,540.69,255.34,122.22,289.31,485.35,324.91,643.48,275.71,134.34,287.42,518.23,187.58,586.84,82.22,59.58,24.21,1.52,70.87,2114.03,751.8,130.13,3096.85,789.33,1368.65,763.5,2023,Sayur
Aceh Barat,14399.68,796.92,784.23,225.75,47.35,377.42,101.31,584.61,285.97,438.66,245.07,481.82,547.18,324.25,168.86,130.17,28.55,83.38,30.6,362.03,2370.76,790.0,28.68,2541.67,230.38,1896.19,497.88,2023,Sayur
Aceh Besar,11855.14,548.11,608.26,260.5,62.44,160.85,156.04,298.07,1176.88,378.51,203.76,188.02,250.05,263.89,98.01,104.74,131.53,96.18,116.53,31.15,1878.37,700.18,65.53,2230.92,606.54,1102.98,137.09,2023,Sayur
Pidie,11232.32,613.18,519.99,172.29,15.56,99.14,56.24,361.84,1118.93,200.62,175.07,109.8,163.87,281.82,114.55,198.6,332.37,58.89,71.63,20.55,1708.48,639.55,334.63,2234.77,634.87,837.07,158.02,2023,Sayur
Bireuen,11664.85,580.49,519.68,191.73,43.49,131.19,80.54,344.27,361.44,256.73,228.84,181.15,229.59,267.1,94.78,359.18,413.25,68.12,110.03,28.84,2345.61,663.2,92.23,2421.45,616.11,821.29,214.5,2023,Sayur
Aceh Utara,11331.52,651.51,567.1,193.89,41.94,116.08,76.56,370.94,378.61,273.17,204.28,231.17,246.47,270.88,87.48,180.03,365.66,115.86,111.97,230.58,1854.39,809.03,103.94,1965.45,713.26,1058.26,113.0,2023,Sayur
Aceh Barat Daya,10853.58,446.76,486.59,102.84,30.43,205.67,57.01,326.87,49.04,222.25,180.05,158.96,502.02,170.45,100.47,10.84,15.17,53.93,16.83,100.34,1776.03,463.28,33.23,3118.41,121.87,1739.94,364.3,2023,Sayur
Gayo Lues,13715.67,495.96,430.57,344.94,69.5,284.28,279.11,515.11,1478.43,254.24,177.65,245.44,597.6,180.74,289.22,10.09,2.73,361.24,56.76,258.7,2321.87,660.32,47.79,2835.78,275.76,1026.34,215.51,2023,Sayur
Aceh Tamiang,12303.76,552.24,612.22,232.06,164.47,191.2,196.33,501.43,138.14,292.53,222.63,359.29,351.2,149.57,90.93,98.74,188.54,18.38,40.85,91.53,2104.11,840.91,82.69,2363.27,782.01,1483.84,154.66,2023,Sayur
Nagan Raya,23151.61,1166.55,1104.37,408.79,114.71,719.1,225.16,834.45,719.86,698.58,695.12,497.79,1005.24,550.01,292.67,86.42,76.23,171.97,153.39,859.84,3581.85,1289.78,155.24,3378.34,547.1,3367.46,451.56,2023,Sayur
Aceh Jaya,12943.68,710.59,627.32,208.88,32.31,167.87,65.08,532.43,109.64,302.75,369.93,374.66,590.2,155.73,260.67,27.52,20.04,80.66,65.6,141.29,2430.31,661.19,22.65,2498.65,360.93,1641.97,484.78,2023,Sayur
