,,,Pengeluaran,Pengeluaran,Pengeluaran,Pengeluaran,Pengeluaran,Pengeluaran
,,,mean,median,std,min,max,count
Kategori,Tahun,Produk,,,,,,
Buah,2023,Alpokat,277.55,214.13,241.95,0.0,1666.94,514
Buah,2023,Apel,457.44,402.14,298.96,0.0,1621.86,514
Buah,2023,BUAH-BUAHAN,7160.0,6718.9,2593.85,1835.17,18892.63,514
Buah,2023,Buah-buahan lainnya,598.3,524.3,419.79,0.0,3694.54,514
Buah,2023,"Duku, langsat",155.33,40.3,326.82,0.0,3329.03,514
Buah,2023,Durian,679.87,228.51,1219.75,0.0,9773.14,514
Buah,2023,Jambu biji,95.03,73.01,76.15,0.0,540.23,514
Buah,2023,"Jeruk, jeruk bali",1119.21,1026.92,915.1,0.0,8676.96,514
Buah,2023,Mangga,309.11,138.82,505.27,0.0,4171.57,514
Buah,2023,Pepaya,559.9,497.33,304.32,0.0,2516.96,514
Buah,2023,Pisang ambon,448.0,334.89,398.67,0.0,2991.9,514
Buah,2023,Pisang lainnya,1118.61,994.02,737.82,149.34,9252.8,514
Buah,2023,Rambutan,354.26,180.54,489.5,0.0,3474.91,514
Buah,2023,Salak,395.35,333.22,316.98,0.0,2064.69,514
Buah,2023,Semangka,419.98,358.89,303.68,0.0,1986.52,514
Buah,2023,Tomat buah,172.06,56.57,286.44,0.0,1874.12,514
Buah,2024,Alpokat,281.32,173.5,318.49,0.0,2084.0,514
Buah,2024,Apel,411.15,330.5,326.79,0.0,2912.0,514
Buah,2024,BUAH-BUAHAN,9293.49,8916.0,3283.09,1395.0,25802.0,514
Buah,2024,Buah-buahan lainnya,862.93,732.5,624.67,0.0,4299.0,514
Buah,2024,"Duku, langsat",1166.38,765.0,1108.44,0.0,4896.0,514
Buah,2024,Durian,1542.52,1041.5,1632.82,0.0,9346.0,514
Buah,2024,Jambu biji,65.48,53.5,58.77,0.0,394.0,514
Buah,2024,"Jeruk, jeruk bali",939.81,717.5,851.44,0.0,7898.0,514
Buah,2024,Mangga,419.02,189.0,682.61,0.0,4564.0,514
Buah,2024,Pepaya,443.79,370.0,293.74,0.0,2581.0,514
Buah,2024,Pisang ambon,366.04,246.0,371.75,0.0,2916.0,514
Buah,2024,Pisang lainnya,976.61,799.5,880.46,180.0,11488.0,514
Buah,2024,Rambutan,831.38,590.5,806.08,0.0,4390.0,514
Buah,2024,Salak,320.93,222.0,318.57,0.0,1959.0,514
Buah,2024,Semangka,432.47,390.0,287.11,0.0,1467.0,514
Buah,2024,Tomat buah,233.77,51.5,421.52,0.0,2934.0,514
Sayur,2023,Bahan sayur asam/lodeh (paket),155.76,58.18,223.77,0.0,1220.2,514
Sayur,2023,Bahan sayur sop/cap cay/ kimlo (paket),360.74,214.85,361.07,0.0,1815.55,514
Sayur,2023,Bawang bombay,47.83,25.68,64.77,0.0,389.48,514
Sayur,2023,Bawang merah,1322.32,1228.2,807.73,428.05,12197.68,514
Sayur,2023,Bawang putih,2110.33,2058.26,917.25,831.64,14648.94,514
Sayur,2023,Bayam,668.14,544.25,600.4,9.41,7463.63,514
Sayur,2023,Buncis,227.46,166.46,340.91,0.0,4812.64,514
Sayur,2023,Cabe hijau,192.3,127.01,198.9,0.0,1217.49,514
Sayur,2023,Cabe merah,1449.15,807.98,1595.29,0.0,8302.84,514
Sayur,2023,Cabe rawit,1790.38,1636.14,1010.4,114.13,7929.93,514
Sayur,2023,Daun ketela pohon/daun singkong,525.25,373.03,609.23,8.63,8020.19,514
Sayur,2023,Jengkol,180.17,21.9,337.89,0.0,2601.33,514
Sayur,2023,Kacang panjang,424.0,400.04,303.24,0.0,5659.46,514
Sayur,2023,Kangkung,790.07,646.98,515.31,33.58,3805.61,514
Sayur,2023,Kol/kubis,346.41,224.86,701.35,3.51,8236.81,514
Sayur,2023,"Labu, labu siam, labu parang",337.06,213.03,522.67,0.99,4040.37,514
Sayur,2023,Mentimun,316.99,245.15,289.22,0.0,2542.44,514
Sayur,2023,Nangka muda,114.28,88.07,99.01,0.0,653.9,514
Sayur,2023,Pepaya muda,168.84,110.61,195.11,0.0,1370.14,514
Sayur,2023,SAYUR-SAYURAN,14212.49,13286.5,6294.82,6322.77,71031.72,514
Sayur,2023,Sawi hijau,334.03,226.42,390.11,0.0,3480.85,514
Sayur,2023,Sawi putih (petsai),242.68,145.95,469.46,0.0,5187.12,514
Sayur,2023,Sayur-sayuran lainnya,550.9,331.86,833.69,0.0,9459.13,514
Sayur,2023,Tauge,163.62,144.58,118.37,0.0,724.87,514
Sayur,2023,Terong,520.47,513.36,242.46,0.0,1479.55,514
Sayur,2023,"Tomat sayur, tomat ceri",552.13,438.54,506.65,5.44,6220.44,514
Sayur,2023,Wortel,321.18,260.3,316.6,14.88,3478.92,514
Sayur,2024,Bahan sayur asam/lodeh (paket),158.72,60.5,233.95,0.0,1323.0,514
Sayur,2024,Bahan sayur sop/cap cay/ kimlo (paket),384.03,254.0,374.72,0.0,1973.0,514
Sayur,2024,Bawang bombay,47.95,26.0,66.34,0.0,446.0,514
Sayur,2024,Bawang merah,1455.36,1353.5,792.03,402.0,8992.0,514
Sayur,2024,Bawang putih,2035.37,1928.5,898.78,731.0,10486.0,514
Sayur,2024,Bayam,652.78,550.0,499.78,0.0,5644.0,514
Sayur,2024,Buncis,221.17,165.0,308.6,0.0,3504.0,514
Sayur,2024,Cabe hijau,207.3,124.5,243.7,0.0,1418.0,514
Sayur,2024,Cabe merah,1825.76,819.5,2265.22,0.0,11533.0,514
Sayur,2024,Cabe rawit,1893.83,1770.5,1137.45,181.0,10322.0,514
Sayur,2024,Daun ketela pohon/daun singkong,516.83,373.5,495.34,11.0,3457.0,514
Sayur,2024,Jengkol,150.09,25.0,286.16,0.0,2594.0,514
Sayur,2024,Kacang panjang,412.17,386.5,274.78,0.0,4605.0,514
Sayur,2024,Kangkung,787.78,650.5,525.41,35.0,3869.0,514
Sayur,2024,Kol/kubis,323.69,232.0,571.99,3.0,7642.0,514
Sayur,2024,"Labu, labu siam, labu parang",350.63,217.5,587.38,2.0,6362.0,514
Sayur,2024,Mentimun,307.76,239.0,250.82,0.0,2246.0,514
Sayur,2024,Nangka muda,98.89,75.0,91.93,0.0,724.0,514
Sayur,2024,Pepaya muda,158.55,101.0,183.89,0.0,1193.0,514
Sayur,2024,SAYUR-SAYURAN,14894.55,13898.0,6586.58,5778.0,81168.0,514
Sayur,2024,Sawi hijau,305.99,209.5,365.0,0.0,4589.0,514
Sayur,2024,Sawi putih (petsai),251.47,144.0,512.33,0.0,4895.0,514
