Kabupaten_Kota,Tahun,Region,Pengeluaran_Buah,Pengeluaran_Sayur,Cluster
Aceh Barat,2024,Aceh,11160.0,15821.0,0
Aceh Barat Daya,2024,Aceh,7231.0,13790.0,1
Aceh Besar,2024,Aceh,6689.0,14052.0,1
Aceh Jaya,2024,Aceh,8789.0,14197.0,1
Aceh Selatan,2024,Aceh,5682.0,14771.0,1
Aceh Singkil,2024,Aceh,6363.0,17920.0,1
Aceh Tamiang,2024,Aceh,7426.0,14233.0,1
Aceh Tengah,2024,Aceh,14192.0,17119.0,0
Aceh Tenggara,2024,Aceh,6046.0,14685.0,1
Aceh Timur,2024,Aceh,5812.0,12709.0,1
Aceh Utara,2024,Aceh,5004.0,10205.0,1
Agam,2024,Lainnya,7294.0,17737.0,1
Alor,2024,Lainnya,4042.0,11379.0,1
Asahan,2024,Lainnya,7134.0,18091.0,1
Asmat,2024,Lainnya,8172.0,13805.0,1
Badung,2024,Lainnya,13811.0,16137.0,0
Balangan,2024,Lainnya,12583.0,10172.0,0
Bandung,2024,Lainnya,7002.0,8937.0,1
Bandung Barat,2024,Lainnya,7752.0,9936.0,1
Banggai,2024,Lainnya,13427.0,12394.0,0
Banggai Kepulauan,2024,Lainnya,10825.0,9432.0,0
Banggai Laut,2024,Lainnya,9591.0,12570.0,1
Bangka,2024,Lainnya,14568.0,18470.0,0
Bangka Barat,2024,Lainnya,13049.0,16093.0,0
Bangka Selatan,2024,Lainnya,9875.0,18668.0,0
Bangka Tengah,2024,Lainnya,14341.0,17738.0,0
Bangkalan,2024,Lainnya,4582.0,8863.0,1
Bangli,2024,Lainnya,17278.0,15426.0,0
Banjar,2024,Lainnya,8118.0,9310.0,1
Banjarnegara,2024,Lainnya,7271.0,9474.0,1
Bantaeng,2024,Lainnya,15117.0,10075.0,0
Bantul,2024,Lainnya,10598.0,12560.0,0
Banyu Asin,2024,Lainnya,10575.0,17421.0,0
Banyumas,2024,Lainnya,10910.0,14857.0,0
Banyuwangi,2024,Lainnya,9730.0,15504.0,0
Barito Kuala,2024,Lainnya,7734.0,10375.0,1
Barito Selatan,2024,Lainnya,8160.0,11842.0,1
Barito Timur,2024,Lainnya,11120.0,12321.0,0
Barito Utara,2024,Lainnya,10416.0,12752.0,0
Barru,2024,Lainnya,7198.0,7982.0,1
Batang,2024,Lainnya,6936.0,11604.0,1
Batang Hari,2024,Lainnya,10398.0,19775.0,0
Batu Bara,2024,Lainnya,6388.0,15524.0,1
Bekasi,2024,Lainnya,9843.0,16110.0,0
Belitung,2024,Lainnya,14625.0,18675.0,0
Belitung Timur,2024,Lainnya,13277.0,19429.0,0
Belu,2024,Lainnya,3092.0,12010.0,1
Bener Meriah,2024,Lainnya,16958.0,21000.0,0
Bengkalis,2024,Lainnya,7844.0,22523.0,1
Bengkayang,2024,Lainnya,6467.0,12608.0,1
Bengkulu Selatan,2024,Lainnya,9894.0,16806.0,0
Bengkulu Tengah,2024,Lainnya,8525.0,21567.0,1
Bengkulu Utara,2024,Lainnya,9730.0,21360.0,0
Berau,2024,Lainnya,11214.0,17595.0,0
Biak Numfor,2024,Lainnya,4719.0,18109.0,1
Bima,2024,Lainnya,7682.0,8371.0,1
Bintan,2024,Lainnya,7609.0,17378.0,1
Bireuen,2024,Lainnya,7497.0,12718.0,1
Blitar,2024,Lainnya,7179.0,11570.0,1
Blora,2024,Lainnya,6715.0,10950.0,1
Boalemo,2024,Lainnya,9107.0,11872.0,1
Bogor,2024,Lainnya,8432.0,13031.0,1
Bojonegoro,2024,Lainnya,5945.0,11761.0,1
Bolaang Mongondow,2024,Lainnya,11944.0,12853.0,0
